DATE,XTEXVA01PLM667S
1998-03-01,2350045260.1293097
1998-04-01,2383020876.97073
1998-05-01,2439262213.3523602
1998-06-01,2403373064.98669
1998-07-01,2413910035.9760103
1998-08-01,2329800996.9219403
1998-09-01,2229222558.4275804
1998-10-01,2351358988.2266197
1998-11-01,2332732795.02947
1998-12-01,2377429141.5790997
1999-01-01,2270084844.5381002
1999-02-01,2139944697.8816
1999-03-01,2272024089.2340603
1999-04-01,2194125124.49669
1999-05-01,2347332374.22667
1999-06-01,2174549678.9735303
1999-07-01,2212312100.12982
1999-08-01,2311566369.8951902
1999-09-01,2311558786.1966
1999-10-01,2365678958.29038
1999-11-01,2361301317.10593
1999-12-01,2535235878.6010003
2000-01-01,2559618610.4679203
2000-02-01,2612167120.42747
2000-03-01,2542273597.53792
2000-04-01,2620102327.01543
2000-05-01,2483426179.54726
2000-06-01,2650454014.44238
2000-07-01,2809017686.67873
2000-08-01,2684996926.87474
2000-09-01,2625558965.59039
2000-10-01,2600343348.60299
2000-11-01,2754924300.28168
2000-12-01,3029732066.25839
2001-01-01,3156403696.80887
2001-02-01,3081002194.50215
2001-03-01,3042433148.1828003
2001-04-01,2997235375.86119
2001-05-01,3023378752.56321
2001-06-01,2931799936.72441
2001-07-01,2835584526.03008
2001-08-01,3045107349.43275
2001-09-01,3178283403.07016
2001-10-01,3086951848.0109897
2001-11-01,2983136753.6372204
2001-12-01,2956346447.54993
2002-01-01,3116812472.81051
2002-02-01,3026496030.4429
2002-03-01,3236934929.61415
2002-04-01,3167540380.257
2002-05-01,3191699012.6788096
2002-06-01,3535359944.02381
2002-07-01,3529050927.4096503
2002-08-01,3570193892.10202
2002-09-01,3462669002.72586
2002-10-01,3684373960.5503697
2002-11-01,3835835655.9095798
2002-12-01,3851892992.14996
2003-01-01,3905637148.38586
2003-02-01,4000997179.7150803
2003-03-01,4035445164.90732
2003-04-01,4239279118.93015
2003-05-01,4608088100.609981
2003-06-01,4435775585.86731
2003-07-01,4571709902.45126
2003-08-01,4448654494.18619
2003-09-01,4663707511.32088
2003-10-01,4804188360.36883
2003-11-01,4960766133.39304
2003-12-01,5321440473.97799
2004-01-01,5427494754.071051
2004-02-01,5687933432.9377
2004-03-01,5724778258.95215
2004-04-01,5941723212.7605
2004-05-01,5908116203.858299
2004-06-01,6085280026.65946
2004-07-01,6193606193.0323105
2004-08-01,6352034047.07613
2004-09-01,6579037736.000071
2004-10-01,6650168584.41515
2004-11-01,7194006541.18244
2004-12-01,7516293230.6095295
2005-01-01,7602329975.98831
2005-02-01,7412583675.28705
2005-03-01,7392902989.158501
2005-04-01,7324569076.07364
2005-05-01,7146365220.107759
2005-06-01,7315605356.08321
2005-07-01,7114258029.62432
2005-08-01,7377031261.57774
2005-09-01,7571576873.26635
2005-10-01,7683627537.74914
2005-11-01,7737890462.19136
2005-12-01,8342845372.6487
2006-01-01,8447344412.16829
2006-02-01,8281667499.84971
2006-03-01,8332048329.71847
2006-04-01,8640241985.24287
2006-05-01,9446360140.448849
2006-06-01,9127970631.403301
2006-07-01,9280815963.07748
2006-08-01,9637498870.10439
2006-09-01,9727151671.05568
2006-10-01,9850046644.0146
2006-11-01,10351386261.4053
2006-12-01,10719093520.1527
2007-01-01,10473512826.1022
2007-02-01,10383516433.289299
2007-03-01,10893407327.6679
2007-04-01,11108307048.2353
2007-05-01,11411956202.487299
2007-06-01,11323902540.8326
2007-07-01,11816713981.025501
2007-08-01,11988578513.389801
2007-09-01,12085673862.6927
2007-10-01,12936496909.714
2007-11-01,13513360822.979
2007-12-01,13510462001.3407
2008-01-01,14313587172.774101
2008-02-01,14808500178.1336
2008-03-01,15191885065.3027
2008-04-01,16082358097.307398
2008-05-01,15230594405.1949
2008-06-01,15672957130.269999
2008-07-01,16408317209.8045
2008-08-01,15317904212.0998
2008-09-01,14554690505.9245
2008-10-01,12404033854.213999
2008-11-01,11103289435.5322
2008-12-01,10431974199.7906
2009-01-01,10043570492.9352
2009-02-01,9708606418.6138
2009-03-01,10134137478.1514
2009-04-01,10297761357.108398
2009-05-01,10762795961.1055
2009-06-01,10979879153.4531
2009-07-01,11646800906.0758
2009-08-01,11844292410.0264
2009-09-01,12539009924.3868
2009-10-01,12911271706.3692
2009-11-01,13429799019.9809
2009-12-01,13137857911.8465
2010-01-01,13172222590.289999
2010-02-01,12730236015.3659
2010-03-01,13169979586.228199
2010-04-01,13239073579.286201
2010-05-01,12687981980.0424
2010-06-01,12447340709.9549
2010-07-01,13103329453.4676
2010-08-01,13377787517.2682
2010-09-01,13671917575.8787
2010-10-01,14510353014.619501
2010-11-01,14139965149.8514
2010-12-01,14374590799.1199
2011-01-01,15034798461.9532
2011-02-01,15209434403.4772
2011-03-01,15447616077.6394
2011-04-01,16742571350.516901
2011-05-01,16970266366.615
2011-06-01,16097080596.731398
2011-07-01,16055666196.0103
2011-08-01,16872745347.8369
2011-09-01,15634247382.4405
2011-10-01,15375478778.2684
2011-11-01,15269482901.1744
2011-12-01,15621862569.5711
2012-01-01,15178645374.9791
2012-02-01,15604035185.1466
2012-03-01,15687308213.4735
2012-04-01,15808863679.4469
2012-05-01,15024775477.5248
2012-06-01,14837224814.3599
2012-07-01,15182795662.0587
2012-08-01,15642710624.5805
2012-09-01,15833401585.161299
2012-10-01,16408625486.6191
2012-11-01,15984728817.963299
2012-12-01,15766599590.062601
2013-01-01,16425756471.532299
2013-02-01,16985193209.2058
2013-03-01,16712188887.583998
2013-04-01,16392812846.6674
2013-05-01,15949669252.4875
2013-06-01,17146542965.9502
2013-07-01,17030681160.730001
2013-08-01,17811710035.7924
2013-09-01,17843372190.7005
2013-10-01,18067388351.0811
2013-11-01,17817021401.366802
2013-12-01,18073582498.3215
2014-01-01,18533291283.180202
2014-02-01,18364464578.363
2014-03-01,18591117160.8211
2014-04-01,19573029839.5593
2014-05-01,19207098998.3775
2014-06-01,18682133595.6148
2014-07-01,18822746922.4332
2014-08-01,18092412335.3234
2014-09-01,18118859695.1312
2014-10-01,17822064618.9001
2014-11-01,17938823707.3684
2014-12-01,17520232135.668198
2015-01-01,16679630331.665798
2015-02-01,16738069319.301498
2015-03-01,16257443682.029099
2015-04-01,16402029761.0262
2015-05-01,17133281021.451601
2015-06-01,16791185981.5178
2015-07-01,16648337993.337702
2015-08-01,16702743199.748798
2015-09-01,16890962526.599998
2015-10-01,17049210661.0814
2015-11-01,16308390352.711498
2015-12-01,16608446118.9051
2016-01-01,15824778684.3934
2016-02-01,16839916316.8712
2016-03-01,16892153466.560999
2016-04-01,17622535701.7933
2016-05-01,17348508100.5294
2016-06-01,17446099394.774902
2016-07-01,16822022218.857399
2016-08-01,17468713486.6869
2016-09-01,17212462202.3622
2016-10-01,17057665024.1111
2016-11-01,17135534259.8577
2016-12-01,17615789110.6292
2017-01-01,17689220436.8821
2017-02-01,17708865642.008198
2017-03-01,18361481779.0846
2017-04-01,18922606146.0204
2017-05-01,19378284010.883602
2017-06-01,19229565396.141
2017-07-01,19718543254.121597
2017-08-01,20826791163.102802
2017-09-01,21136311087.5831
2017-10-01,20719972961.8292
2017-11-01,20835658321.1262
2017-12-01,21262871943.4944
2018-01-01,22105749893.1553
2018-02-01,21961781042.1921
2018-03-01,22786886052.6668
2018-04-01,22920282825.6467
2018-05-01,21819650306.8415
2018-06-01,22446004485.204998
2018-07-01,21989494211.796898
2018-08-01,21898371920.573902
2018-09-01,21922439868.678497
2018-10-01,21982885683.336998
2018-11-01,21779280753.3643
2018-12-01,21195076841.6367
2019-01-01,22182456390.316803
2019-02-01,21965885999.257603
2019-03-01,22446850088.6195
2019-04-01,23742860980.8535
2019-05-01,23047849537.085
2019-06-01,21972159595.9027
2019-07-01,22462495156.4657
2019-08-01,21938006023.6196
2019-09-01,21917051370.0088
2019-10-01,22125167571.3037
2019-11-01,21802626989.9255
2019-12-01,22115160226.9169
2020-01-01,22814771869.637203
2020-02-01,22978742052.2417
2020-03-01,20329010112.428596
2020-04-01,16825424531.534
2020-05-01,18816561920.2667
2020-06-01,22068571804.015503
2020-07-01,23302051461.2241
2020-08-01,24365378594.5368
2020-09-01,24929102359.9581
2020-10-01,25370277221.8913
2020-11-01,25852003284.482903
2020-12-01,26857094770.8527
2021-01-01,26277048661.5822
2021-02-01,26660609902.552998
2021-03-01,27547744674.4739
2021-04-01,30071633882.931
2021-05-01,29704470601.699398
2021-06-01,29059821368.0373
2021-07-01,28328970359.7845
2021-08-01,28427232178.1269
2021-09-01,28073402184.1784
2021-10-01,28016318989.058502
2021-11-01,28555619544.706398
2021-12-01,29130669318.0594
2022-01-01,30024907400.2225
2022-02-01,28239901804.506298
